thuoc_tinh,y_nghia,kieu_du_lieu,thang_do,so_gia_tri_duy_nhat,ti_le_thieu_%,gia_tri_min,gia_tri_max,vi_du
id,,int64,,30259,0.0,2539.0,1.7070745759287155e+18,2539
listing_url,,str,,30259,0.0,,,https://www.airbnb.com/rooms/2539
scrape_id,,int64,,1,0.0,20260614073253.0,20260614073253.0,20260614073253
last_scraped,,str,,4,0.0,,,2026-06-15
source,,str,,2,0.0,,,city scrape
name,,str,,28835,0.0,,,11 Min to Manhattan • Prospect Park • Fast WiFi
description,,str,,24173,2.98,,,"Bright, serene room in a renovated apartment home within an elevator building<br /><br />New Nectar mattress with cool memory foam for the perfect blend of comfort and support<br /><br />Clean, quiet environment for a restful stay<br /><br />Convenient laundry room available in the building"
neighborhood_overview,,float64,,0,100.0,,,
picture_url,,str,,29608,0.0,,,https://a0.muscache.com/pictures/hosting/Hosting-2539/original/be0fa88a-0df2-4862-8195-8793b918153a.png
host_id,,int64,,16474,0.0,1678.0,1.7044528731447647e+18,2787
host_url,,str,,16474,0.0,,,https://www.airbnb.com/users/show/2787
host_profile_id,,float64,,16385,1.15,1.4625062707160568e+18,1.706706814958017e+18,1.462506323032802e+18
host_profile_url,,str,,16386,1.15,,,https://www.airbnb.com/users/profile/1462506323032802005
host_name,,str,,7001,1.15,,,John
host_since,,float64,,0,100.0,,,
hosts_time_as_user_years,,float64,,18,1.15,0.0,17.0,17.0
hosts_time_as_user_months,,float64,,12,1.15,0.0,11.0,9.0
hosts_time_as_host_years,,float64,,16,1.15,0.0,15.0,15.0
hosts_time_as_host_months,,float64,,12,1.15,0.0,11.0,5.0
host_location,,str,,713,23.67,,,"New York, NY"
host_about,,str,,9242,41.01,,,"Educated professional living in Brooklyn.  I love meeting new people, running, hiking, fine foods, traveling, etc.  One of my favorite trips was spending New Year's Eve in London on the Thames River.  Big Ben, spectacular fireworks and light show; and fun times with a good crowd of international tourists....a most memorable night and trip!  Also, I generally approach life with a positive attitude.  I look forward to meeting you."
host_response_time,,float64,,0,100.0,,,
host_response_rate,,float64,,0,100.0,,,
host_acceptance_rate,,float64,,0,100.0,,,
host_is_superhost,,str,,2,1.15,,,f
host_thumbnail_url,,float64,,0,100.0,,,
host_picture_url,,str,,15949,1.15,,,https://a0.muscache.com/im/pictures/user/User/original/cf17d21d-33e9-49f3-8c9f-76367fc4853d.jpeg?aki_policy=profile_x_medium
host_neighbourhood,,float64,,0,100.0,,,
host_listings_count,,float64,,132,1.15,0.0,5978.0,5.0
host_total_listings_count,,float64,,0,100.0,,,
host_verifications,,float64,,0,100.0,,,
host_has_profile_pic,,str,,2,1.15,,,t
host_identity_verified,,str,,2,1.15,,,t
neighbourhood,,float64,,0,100.0,,,
neighbourhood_cleansed,,str,,223,0.0,,,Kensington
neighbourhood_group_cleansed,,str,,5,0.0,,,Brooklyn
latitude,,float64,,20100,0.0,40.50456,40.912016503779405,40.64593716028213
longitude,,float64,,18697,0.0,-74.251907,-73.71182221830068,-73.97216373838066
property_type,,str,,69,0.0,,,Private room in condo
room_type,,str,,4,0.0,,,Private room
accommodates,,int64,,16,0.0,1.0,16.0,2
bathrooms,,float64,,19,33.42,0.5,15.5,1.0
bathrooms_text,,str,,33,0.53,,,1 shared bath
bedrooms,,float64,,16,36.26,0.0,19.0,1.0
beds,,float64,,20,31.13,1.0,40.0,2.0
amenities,,str,,25118,0.0,,,"[""Bed linens"", ""Hot water"", ""Exterior security cameras on property"", ""Cleaning products"", ""Fire extinguisher"", ""Elevator"", ""Lockbox"", ""Microwave"", ""Laundromat nearby"", ""Oven"", ""Portable fans"", ""Self check-in"", ""Paid parking off premises"", ""Kitchen"", ""Free street parking"", ""Dining table"", ""Long term stays allowed"", ""Hair dryer"", ""Body soap"", ""Extra pillows and blankets"", ""Washer"", ""Backyard"", ""Dryer"", ""Iron"", ""Bikes"", ""Ceiling fan"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Freezer"", ""Stove"", ""Heating"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Conditioner"", ""Bathtub"", ""Wine glasses"", ""Clothing storage"", ""Fast wifi \u2013 330 Mbps"", ""Cleaning available during stay"", ""Blender"", ""Shower gel"", ""Smoke alarm"", ""Cooking basics"", ""Refrigerator"", ""Hangers"", ""Single level home"", ""Dedicated workspace"", ""Essentials"", ""Shampoo""]"
price,,str,,11417,28.9,,,$113.97
price_quote_checkin_date,,str,,334,25.05,,,2026-07-11
price_quote_checkout_date,,str,,357,25.05,,,2026-08-10
price_quote_total_price,,float64,,12475,28.9,69.0,929188.68,3419.19
price_quote_price_per_night,,float64,,11417,28.9,4.58,30972.96,113.97
price_quote_raw,,str,,19766,25.05,,,"{""quote"": {""taxes"": null, ""currency"": ""USD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""3419.19"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""6979.00"", ""price_per_night"": ""113.973"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""3419.19"", ""raw_price_line_items"": [{""amount"": ""10398.19"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$10,398.19""}, {""amount"": ""-6979.00"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$6,979.00""}, {""amount"": ""3419.19"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$3,419.19""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-11"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-08-10""}}"
minimum_nights,,float64,,86,0.01,1.0,1124.0,30.0
maximum_nights,,float64,,231,0.01,1.0,2147483647.0,730.0
minimum_minimum_nights,,float64,,86,0.01,1.0,1124.0,30.0
maximum_minimum_nights,,float64,,118,0.01,1.0,1124.0,30.0
minimum_maximum_nights,,float64,,225,0.01,1.0,2147483647.0,730.0
maximum_maximum_nights,,float64,,231,0.01,1.0,2147483647.0,730.0
minimum_nights_avg_ntm,,float64,,349,0.0,1.0,1124.0,30.0
maximum_nights_avg_ntm,,float64,,871,0.0,1.0,2147483647.0,730.0
